epoch,avg_d_loss,avg_g_loss
1,0.673864,0.813378
2,0.668284,0.814173
3,0.636327,0.887908
4,0.631610,0.886754
5,0.628362,0.884500
6,0.615265,0.912546
7,0.604442,0.943152
8,0.595766,0.959635
9,0.593846,0.975048
10,0.591707,0.975115
11,0.591261,0.982477
12,0.589222,0.990126
13,0.586459,0.997726
14,0.582221,1.007984
15,0.579212,1.016197
16,0.576020,1.025000
17,0.572246,1.033389
18,0.569679,1.039270
19,0.568489,1.044498
20,0.566564,1.048346
21,0.565414,1.056937
22,0.562960,1.060516
23,0.561311,1.064389
24,0.560601,1.065691
25,0.557709,1.072870
26,0.555996,1.078300
27,0.554279,1.081820
28,0.552290,1.091270
29,0.550312,1.092398
30,0.548494,1.097473
31,0.547749,1.103337
32,0.545419,1.105601
33,0.545218,1.107388
34,0.542398,1.112756
35,0.541043,1.125829
36,0.539148,1.124092
37,0.539061,1.130188
38,0.536732,1.134227
39,0.535570,1.134541
40,0.535108,1.142802
41,0.533366,1.140147
42,0.532736,1.146109
43,0.531434,1.153036
44,0.529870,1.149735
45,0.529458,1.153317
46,0.527975,1.154867
47,0.531247,1.159457
48,0.526115,1.159484
49,0.526424,1.167539
50,0.525159,1.168974
51,0.524157,1.171443
52,0.526116,1.172583
53,0.525880,1.170877
54,0.522476,1.177897
55,0.523671,1.176933
56,0.521367,1.178852
57,0.524840,1.180359
58,0.522515,1.182643
59,0.518511,1.179585
60,0.519201,1.189919
61,0.520662,1.192863
62,0.517721,1.197835
63,0.518289,1.200792
64,0.518246,1.200033
65,0.516554,1.203294
66,0.513924,1.202336
67,0.517018,1.205416
68,0.513986,1.211189
69,0.520237,1.208379
70,0.511880,1.208810
71,0.511620,1.216106
72,0.510614,1.216920
73,0.514664,1.213350
74,0.509933,1.219168
75,0.509534,1.221932
76,0.507370,1.227239
77,0.506651,1.229503
78,0.507089,1.235586
79,0.504520,1.235778
80,0.504044,1.238116
81,0.503119,1.242227
82,0.508968,1.242561
83,0.501929,1.243388
84,0.500617,1.250069
85,0.501298,1.254170
86,0.499870,1.254335
87,0.499684,1.259479
88,0.497471,1.261747
89,0.497532,1.265503
90,0.497016,1.266823
91,0.496767,1.269481
92,0.495315,1.271265
93,0.494281,1.275743
94,0.493050,1.278969
95,0.493432,1.281832
96,0.492655,1.284372
97,0.494481,1.284210
98,0.501046,1.283963
99,0.492987,1.279139
100,0.491766,1.286327
